organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Portsmouth,Mobile,Monday,Paulsgrove,Victory School and Ludlow Road,"Victory School and Ludlow Road, Paulsgrove",,-1.092229,50.850509,Monday,13:30,16:30,FREQ=WEEKLY;INTERVAL=1,2019-10-21,,https://www.portsmouth.gov.uk/ext/libraries/mobile-library
Portsmouth,Mobile,Tuesday,Eastney,Fort Cumberland Road,"Fort Cumberland Road, Eastney",,-1.043788,50.788006,Tuesday,13:30,16:30,FREQ=WEEKLY;INTERVAL=1,2019-10-22,,https://www.portsmouth.gov.uk/ext/libraries/mobile-library
Portsmouth,Mobile,Wednesday,Hilsea,London Road (opposite Amberley Road),"London Road (opposite Amberley Road), Hilsea",,-1.072409,50.826083,Wednesday,09:30,12:30,FREQ=WEEKLY;INTERVAL=1,2019-10-23,,https://www.portsmouth.gov.uk/ext/libraries/mobile-library
Portsmouth,Mobile,Wednesday,Copnor,Mayfield Road / Copnor Road,"Mayfield Road / Copnor Road, Copnor",,-1.065023,50.820521,Wednesday,13:30,16:30,FREQ=WEEKLY;INTERVAL=1,2019-10-23,,https://www.portsmouth.gov.uk/ext/libraries/mobile-library
Portsmouth,Mobile,Thursday,Farlington,Sainsbury's,"Sainsbury's, Farlington",,-1.040003,50.840013,Thursday,09:30,12:30,FREQ=WEEKLY;INTERVAL=1,2019-10-24,,https://www.portsmouth.gov.uk/ext/libraries/mobile-library
Portsmouth,Mobile,Thursday,Anchorage Park,Morrison's,"Morrison's, Anchorage Park",,-1.046733,50.826095,Thursday,13:30,16:30,FREQ=WEEKLY;INTERVAL=1,2019-10-24,,https://www.portsmouth.gov.uk/ext/libraries/mobile-library
Portsmouth,Mobile,Friday,Copnor,Mayfield Road / Copnor Road,"Mayfield Road / Copnor Road, Copnor",,-1.065023,50.820521,Friday,09:30,12:30,FREQ=WEEKLY;INTERVAL=1,2019-10-25,,https://www.portsmouth.gov.uk/ext/libraries/mobile-library
Portsmouth,Mobile,Friday,Southsea,Canoe Lake,"Canoe Lake, Southsea",,-1.072780,50.781337,Friday,13:30,16:30,FREQ=WEEKLY;INTERVAL=1,2019-10-25,,https://www.portsmouth.gov.uk/ext/libraries/mobile-library
