organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Angus,Van 1,M1Wk1,Wellbank,By Ps,"By Ps, Wellbank",,-2.857543774328536,56.52136238596283,Monday,09:30,10:45,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M2Wk1,Wellbank,Gagiebank,"Gagiebank, Wellbank",,-2.8625770349267934,56.52041113868152,Monday,10:50,11:05,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M3Wk1,,Wellbank  Hall,Wellbank  Hall,,-2.8628612274339544,56.522188059159866,Monday,11:10,11:25,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M4Wk1,Monikie,Broomwell Gdns,"Broomwell Gdns, Monikie",,-2.818829757295615,56.538783541622465,Monday,12:10,12:30,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M5Wk1,Monikie,Shop,"Shop, Monikie",,-2.8150273842241185,56.53815269041239,Monday,12:35,12:50,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M6Wk1,,Craigton Of Monikie,Craigton Of Monikie,,-2.798260515088834,56.533419034913,Monday,12:55,13:15,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M7Wk1,Newbigging,Pitairlie Rd,"Pitairlie Rd, Newbigging",,-2.8171115473211814,56.51487873919397,Monday,13:25,13:55,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M8Wk1,Newbigging,Templehall Pl,"Templehall Pl, Newbigging",,-2.817902513317365,56.5161403171573,Monday,14:00,14:20,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M9Wk1,,Burnside Of Duntrune,Burnside Of Duntrune,,-2.9120833199578713,56.502097749482516,Monday,14:45,15:05,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M10Wk1,Strathmartine,Ashton Tce,"Ashton Tce, Strathmartine",,-2.9972775835688177,56.50157760926657,Monday,15:25,15:55,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M11Wk1,Ballumbie ,Oak Loan,"Oak Loan, Ballumbie ",,-2.903364898641495,56.498909127304486,Monday,16:15,16:40,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M12Wk1,Ballumbie ,Silver Birch Dr,"Silver Birch Dr, Ballumbie ",,-2.8996791208267254,56.49760619589329,Monday,16:45,17:10,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,M13Wk1,Ballumbie,Poplar Dr,"Poplar Dr, Ballumbie",,-2.89167117969744,56.49484285970075,Monday,17:15,17:45,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu1Wk1,,Kingsmuir,Kingsmuir,,-2.8536850294388256,56.63372771892984,Tuesday,09:10,09:30,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu2Wk1,,Craichie,Craichie,,-2.810391136388421,56.61489899746792,Tuesday,09:35,09:50,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu3Wk1,Letham, West Hemming St," West Hemming St, Letham",,-2.7737612961465063,56.62835681296601,Tuesday,10:00,10:50,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu4Wk1,,Dunnichen,Dunnichen,,-2.8014638300741703,56.62804669130815,Tuesday,10:55,11:15,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu5Wk1,,Bowriefauld,Bowriefauld,,-2.7899719818515254,56.62176842480385,Tuesday,11:20,11:45,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu6Wk1,Carmyllie,Redford,"Redford, Carmyllie",,-2.7154140288147,56.58725350698078,Tuesday,12:30,13:10,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu7Wk1,Barry,Main Street,"Main Street, Barry",,-2.755822616168404,56.49899633889004,Tuesday,13:50,14:20,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu8Wk1,,Easthaven,Easthaven,,-2.667553572978644,56.516554180443066,Tuesday,14:40,15:10,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu9Wk1,,Muirdrum,Muirdrum,,-2.7116512874381433,56.525643924871275,Tuesday,15:25,15:55,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,Van 1,Tu10Wk1,,Grahamston,Grahamston,,-2.6500328921398184,56.55060709714566,Tuesday,16:10,16:35,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
